timestamp,city,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,cycle_index
2026-04-26T11:31:01.330388,Fes,34.0181,-5.0078,21.95,21.87,64,1012,4.63,80,0,Clear,clear sky,2,4.16,16.76,0.19,74.74,0.08,97.02,5
2026-04-26T11:31:04.611992,Tanger,35.7595,-5.834,21.74,21.54,60,1014,9.77,80,40,Clouds,scattered clouds,2,3.69,6.9,1.0,80.2,0.95,124.1,5
2026-04-26T11:31:07.889114,Agadir,30.4278,-9.5981,23.06,23.43,77,1010,3.21,254,15,Clouds,few clouds,3,7.69,18.88,0.38,100.05,1.13,113.75,5
2026-04-26T12:31:09.740950,Casablanca,33.5731,-7.5898,21.01,21.07,73,1011,1.54,40,80,Clouds,broken clouds,3,9.22,19.79,0.61,103.01,3.67,111.52,6
2026-04-26T12:31:12.982148,Rabat,34.0209,-6.8416,21.37,21.73,83,1011,3.09,280,40,Clouds,scattered clouds,3,13.7,20.61,1.08,104.71,5.55,115.79,6
2026-04-26T12:31:16.201426,Marrakech,31.6295,-7.9811,24.98,24.92,53,1010,1.54,0,40,Clouds,scattered clouds,2,9.27,42.58,0.36,93.11,0.21,100.48,6
2026-04-26T12:31:19.403726,Fes,34.0181,-5.0078,22.95,22.87,60,1011,4.63,70,0,Clear,clear sky,2,4.25,16.94,0.17,76.47,0.08,95.63,6
2026-04-26T12:31:22.599905,Tanger,35.7595,-5.834,21.74,21.54,60,1014,11.83,80,40,Clouds,scattered clouds,2,4.03,7.23,0.67,89.68,0.94,124.55,6
2026-04-26T12:31:25.842218,Agadir,30.4278,-9.5981,24.06,24.48,75,1010,4.49,263,11,Clouds,few clouds,2,8.62,20.91,0.31,99.3,1.11,113.95,6
2026-04-26T13:47:38.319382,Rabat,34.0209,-6.8416,21.37,21.6,78,1010,3.6,320,40,Clouds,scattered clouds,3,12.38,18.49,0.71,108.01,5.29,114.84,7
2026-04-26T13:47:41.550470,Marrakech,31.6295,-7.9811,25.98,25.98,47,1009,3.6,40,40,Clouds,scattered clouds,3,11.22,54.65,0.23,96.53,0.15,101.46,7
2026-04-26T13:47:44.747968,Fes,34.0181,-5.0078,24.95,24.81,50,1010,4.63,60,20,Clouds,few clouds,2,4.55,18.73,0.15,81.36,0.07,95.47,7
2026-04-26T13:47:47.968614,Tanger,35.7595,-5.834,22.75,22.54,56,1013,11.83,80,40,Clouds,scattered clouds,2,4.12,7.41,0.54,98.44,1.0,126.18,7
2026-04-26T13:47:51.223700,Agadir,30.4278,-9.5981,24.06,24.4,72,1009,4.28,253,7,Clear,clear sky,2,9.61,22.89,0.28,99.3,1.12,114.76,7
2026-04-26T16:17:44.454621,Casablanca,33.5731,-7.5898,21.01,21.07,73,1010,3.6,50,40,Clouds,scattered clouds,3,7.77,13.59,0.49,108.88,3.52,107.52,8
2026-04-26T16:17:47.676441,Rabat,34.0209,-6.8416,24.37,24.43,60,1010,3.09,320,40,Clouds,scattered clouds,3,9.94,14.68,0.67,105.31,4.28,112.01,8
2026-04-26T16:17:51.542472,Marrakech,31.6295,-7.9811,30.98,30.48,37,1007,2.06,0,40,Clouds,scattered clouds,3,11.02,54.42,0.21,99.58,0.14,100.75,8
2026-04-26T16:17:54.794429,Fes,34.0181,-5.0078,25.95,25.95,47,1009,4.63,80,20,Clouds,few clouds,2,4.24,17.06,0.26,81.87,0.08,94.42,8
2026-04-26T16:17:58.476021,Tanger,35.7595,-5.834,21.74,21.54,60,1013,13.89,80,40,Clouds,scattered clouds,3,5.04,10.28,0.54,108.2,1.22,127.39,8
2026-04-26T16:18:01.742941,Agadir,30.4278,-9.5981,23.06,23.28,71,1008,4.18,235,9,Clear,clear sky,2,10.69,24.53,0.33,99.35,0.96,118.08,8
2026-04-26T17:18:03.813706,Casablanca,33.5731,-7.5898,22.01,21.83,60,1010,3.09,60,40,Clouds,scattered clouds,3,8.21,14.42,0.67,109.62,3.78,109.4,9
2026-04-26T17:18:07.049503,Rabat,34.0209,-6.8416,23.37,23.33,60,1010,4.12,340,40,Clouds,scattered clouds,3,9.82,14.82,0.95,106.15,4.4,113.74,9
2026-04-26T17:18:10.343646,Marrakech,31.6295,-7.9811,29.98,29.15,35,1007,2.57,60,40,Clouds,scattered clouds,3,11.52,55.3,0.31,99.8,0.24,101.46,9
2026-04-26T17:18:13.572014,Fes,34.0181,-5.0078,26.95,27.2,47,1009,4.12,80,20,Clouds,few clouds,2,4.07,15.04,0.5,76.52,0.11,94.51,9
2026-04-26T17:18:16.803027,Tanger,35.7595,-5.834,21.74,21.54,60,1012,13.38,80,40,Clouds,scattered clouds,3,5.27,10.88,0.67,108.74,1.24,127.58,9
2026-04-26T17:18:20.073763,Agadir,30.4278,-9.5981,24.06,24.4,72,1008,3.07,223,5,Clear,clear sky,3,11.21,25.08,0.42,101.92,1.0,120.26,9
2026-04-26T18:18:22.090226,Casablanca,33.5731,-7.5898,21.84,21.65,60,1010,3.6,20,40,Clouds,scattered clouds,3,8.57,15.13,0.86,108.97,4.09,110.97,10
2026-04-26T18:18:25.624177,Rabat,34.0209,-6.8416,23.35,23.2,56,1010,3.6,340,40,Clouds,scattered clouds,3,9.56,14.91,1.44,106.38,4.55,115.92,10
2026-04-26T18:18:28.930937,Marrakech,31.6295,-7.9811,29.98,29.15,35,1007,1.54,0,40,Clouds,scattered clouds,3,12.2,56.36,0.53,99.98,0.34,102.92,10
2026-04-26T18:18:32.156186,Fes,34.0181,-5.0078,25.95,25.95,47,1009,4.12,70,20,Clouds,few clouds,2,3.9,13.06,0.87,69.67,0.14,94.67,10
2026-04-26T18:18:35.710158,Tanger,35.7595,-5.834,20.83,20.64,64,1012,13.89,80,40,Clouds,scattered clouds,3,5.59,11.61,0.92,108.73,1.27,127.57,10
2026-04-26T18:18:39.348319,Agadir,30.4278,-9.5981,23.06,23.35,74,1008,2.44,194,9,Clear,clear sky,3,10.94,24.51,0.52,104.53,1.03,121.4,10
2026-04-26T19:18:41.519052,Casablanca,33.5731,-7.5898,20.01,19.97,73,1010,3.6,30,75,Clouds,broken clouds,3,8.76,15.6,1.05,108.24,4.27,112.55,11
2026-04-26T19:18:44.758053,Rabat,34.0209,-6.8416,22.37,22.23,60,1010,3.09,340,40,Clouds,scattered clouds,3,8.78,14.43,2.06,104.8,4.51,117.69,11
2026-04-26T19:18:48.197902,Marrakech,31.6295,-7.9811,28.98,28.33,37,1007,2.06,90,40,Rain,light rain,3,12.45,55.44,0.75,99.51,0.42,104.14,11
2026-04-26T19:18:51.491845,Fes,34.0181,-5.0078,24.95,24.88,53,1009,3.09,60,20,Clouds,few clouds,2,3.76,11.82,1.19,66.75,0.17,94.91,11
2026-04-26T19:18:54.874631,Tanger,35.7595,-5.834,19.74,19.44,64,1012,12.35,80,40,Clouds,scattered clouds,3,5.87,12.19,1.28,107.49,1.32,127.83,11
2026-04-26T19:18:58.131519,Agadir,30.4278,-9.5981,21.06,21.23,77,1008,3.12,178,14,Clouds,few clouds,3,10.29,23.85,0.56,106.43,1.01,122.0,11
2026-04-26T20:19:00.109669,Casablanca,33.5731,-7.5898,18.95,19.04,82,1011,2.57,30,75,Clouds,broken clouds,3,8.86,16.17,1.47,105.31,4.32,114.43,12
2026-04-26T20:19:03.365268,Rabat,34.0209,-6.8416,21.37,21.34,68,1011,2.06,340,40,Clouds,scattered clouds,2,7.97,13.87,2.95,99.76,4.32,118.6,12
2026-04-26T20:19:06.608826,Marrakech,31.6295,-7.9811,27.98,27.58,39,1009,2.06,90,40,Rain,light rain,3,12.24,51.19,1.13,94.34,0.47,104.31,12
2026-04-26T20:19:09.875862,Fes,34.0181,-5.0078,21.95,21.87,64,1010,1.03,0,20,Clouds,few clouds,2,3.65,11.23,1.36,65.71,0.2,94.63,12
2026-04-26T20:19:13.158065,Tanger,35.7595,-5.834,18.74,18.45,68,1013,10.8,80,40,Clouds,scattered clouds,3,6.0,12.55,1.79,103.47,1.32,128.43,12
2026-04-26T20:19:16.437724,Agadir,30.4278,-9.5981,19.06,19.19,83,1009,2.53,149,75,Clouds,broken clouds,3,9.24,22.64,0.51,107.43,0.98,121.81,12
2026-04-26T21:19:18.140893,Casablanca,33.5731,-7.5898,18.95,19.04,82,1012,1.03,0,57,Clouds,broken clouds,3,9.0,17.07,1.86,102.38,4.13,118.15,13
2026-04-26T21:19:21.469634,Rabat,34.0209,-6.8416,18.37,18.4,82,1011,0.0,0,40,Clouds,scattered clouds,2,7.61,13.85,3.48,94.65,4.01,121.11,13
2026-04-26T21:19:24.767338,Marrakech,31.6295,-7.9811,25.98,25.98,50,1010,5.14,150,75,Rain,light rain,2,12.14,47.5,1.55,88.71,0.47,106.18,13
2026-04-26T21:19:28.009721,Fes,34.0181,-5.0078,19.95,19.88,72,1011,1.03,0,40,Clouds,scattered clouds,2,3.66,11.04,1.41,62.3,0.19,95.25,13
2026-04-26T21:19:31.849861,Tanger,35.7595,-5.834,18.74,18.55,72,1013,10.8,80,40,Clouds,scattered clouds,2,6.05,12.83,2.05,97.95,1.25,129.19,13
2026-04-26T21:19:35.084277,Agadir,30.4278,-9.5981,18.06,18.17,86,1010,3.48,137,92,Clouds,overcast clouds,3,8.22,21.59,0.43,107.98,0.93,121.63,13
2026-04-26T22:19:37.757509,Casablanca,33.5731,-7.5898,18.95,19.04,82,1012,0.51,0,50,Clouds,scattered clouds,3,9.03,17.92,2.1,100.43,3.76,121.83,14
2026-04-26T22:19:41.429753,Rabat,34.0209,-6.8416,15.37,15.57,100,1012,0.0,0,40,Clouds,scattered clouds,2,7.52,13.99,3.63,90.81,3.7,123.47,14
2026-04-26T22:19:44.812571,Marrakech,31.6295,-7.9811,24.98,24.92,53,1010,0.51,0,40,Rain,light rain,2,12.04,45.35,1.82,84.36,0.47,107.9,14
2026-04-26T22:19:48.338069,Fes,34.0181,-5.0078,18.97,19.06,82,1012,1.03,0,0,Clear,clear sky,1,3.68,10.65,1.41,58.71,0.16,95.94,14
2026-04-26T22:19:51.775599,Tanger,35.7595,-5.834,18.74,18.55,72,1014,10.29,80,40,Clouds,scattered clouds,2,6.05,12.98,2.12,93.12,1.17,130.04,14
2026-04-26T22:19:55.147853,Agadir,30.4278,-9.5981,18.06,18.22,88,1011,4.33,138,71,Clouds,broken clouds,3,7.95,22.35,0.37,108.06,0.88,121.45,14
2026-04-26T23:19:58.384463,Casablanca,33.5731,-7.5898,18.95,19.04,82,1012,1.54,320,57,Clouds,broken clouds,2,8.86,18.3,2.2,96.45,3.27,122.16,15
2026-04-26T23:20:02.322482,Rabat,34.0209,-6.8416,15.37,15.57,100,1012,0.0,0,40,Clouds,scattered clouds,2,7.37,13.78,3.64,85.09,3.29,122.97,15
2026-04-26T23:20:07.311055,Marrakech,31.6295,-7.9811,23.98,23.92,57,1010,2.57,10,40,Clouds,scattered clouds,2,11.73,43.09,2.03,80.05,0.49,106.99,15
2026-04-26T23:20:10.893859,Fes,34.0181,-5.0078,18.95,19.04,82,1012,1.03,0,0,Clear,clear sky,1,3.61,9.69,1.48,53.61,0.12,94.78,15
2026-04-26T23:20:14.392442,Tanger,35.7595,-5.834,18.74,18.45,68,1014,9.77,80,40,Clouds,scattered clouds,2,6.01,12.83,2.22,87.53,1.06,130.01,15
2026-04-26T23:20:17.592166,Agadir,30.4278,-9.5981,18.06,18.25,89,1011,5.36,137,77,Clouds,broken clouds,3,7.4,21.79,0.33,107.87,0.84,121.22,15
2026-04-27T00:20:19.453476,Casablanca,33.5731,-7.5898,17.89,18.03,88,1012,2.06,320,62,Clouds,broken clouds,2,8.87,18.85,2.25,93.35,2.81,123.69,16
2026-04-27T00:20:22.692245,Rabat,34.0209,-6.8416,16.37,16.67,100,1011,1.54,230,40,Clouds,scattered clouds,2,7.38,13.64,3.64,80.2,2.94,123.58,16
2026-04-27T00:20:25.914450,Marrakech,31.6295,-7.9811,22.98,22.9,60,1010,1.54,30,40,Clouds,scattered clouds,2,11.7,41.86,2.21,79.1,0.51,107.35,16
