cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
1,Tanger,2026-04-26 00:31:20.668949,35.7595,-5.834,17.74,17.58,77.0,1014.0,9.77,80.0,20.0,Clouds,few clouds,2.0,4.05,8.49,1.94,82.37,0.98,124.86,0.0,6.0,26.0,4.0,5
2,Agadir,2026-04-26 01:31:44.554412,30.4278,-9.5981,16.06,15.97,86.0,1010.0,3.46,122.0,0.0,Clear,clear sky,3.0,6.38,19.42,0.26,104.82,1.08,113.6,1.0,6.0,26.0,4.0,0
2,Casablanca,2026-04-26 01:31:26.131602,33.5731,-7.5898,17.89,18.03,88.0,1012.0,2.06,40.0,39.0,Clouds,scattered clouds,3.0,9.02,16.52,1.51,100.63,2.45,119.95,1.0,6.0,26.0,4.0,1
2,Fes,2026-04-26 01:31:37.294732,34.0181,-5.0078,13.95,14.01,100.0,1013.0,1.54,110.0,0.0,Clear,clear sky,1.0,2.78,5.37,1.17,53.87,0.11,98.59,1.0,6.0,26.0,4.0,2
2,Marrakech,2026-04-26 01:31:33.288123,31.6295,-7.9811,17.98,17.71,72.0,1011.0,3.6,50.0,75.0,Clouds,broken clouds,2.0,5.36,13.3,1.75,73.08,0.48,107.21,1.0,6.0,26.0,4.0,3
2,Rabat,2026-04-26 01:31:29.393095,34.0209,-6.8416,14.37,14.47,100.0,1012.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,8.25,13.93,2.01,98.5,2.68,121.2,1.0,6.0,26.0,4.0,4
2,Tanger,2026-04-26 01:31:40.878573,35.7595,-5.834,17.74,17.58,77.0,1014.0,11.32,80.0,20.0,Clouds,few clouds,2.0,3.99,8.22,1.87,76.41,0.9,124.28,1.0,6.0,26.0,4.0,5
3,Agadir,2026-04-26 09:30:31.986114,30.4278,-9.5981,17.06,16.83,77.0,1010.0,2.38,240.0,19.0,Clouds,few clouds,3.0,6.44,16.03,0.45,101.32,1.25,112.79,9.0,6.0,26.0,4.0,0
3,Casablanca,2026-04-26 09:30:14.911435,33.5731,-7.5898,18.95,18.91,77.0,1012.0,0.51,0.0,75.0,Clouds,broken clouds,2.0,7.52,17.69,1.95,83.15,1.57,118.97,9.0,6.0,26.0,4.0,1
3,Fes,2026-04-26 09:30:25.149990,34.0181,-5.0078,17.95,17.94,82.0,1012.0,4.12,70.0,0.0,Clear,clear sky,1.0,2.76,7.9,0.64,55.72,0.13,99.09,9.0,6.0,26.0,4.0,2
3,Marrakech,2026-04-26 09:30:21.475585,31.6295,-7.9811,18.98,18.81,72.0,1011.0,1.03,0.0,40.0,Clouds,scattered clouds,2.0,5.92,17.65,3.02,66.0,0.62,107.35,9.0,6.0,26.0,4.0,3
3,Rabat,2026-04-26 09:30:18.173893,34.0209,-6.8416,17.37,17.62,94.0,1012.0,0.0,0.0,40.0,Mist,mist,2.0,6.81,11.59,3.25,66.05,1.69,117.36,9.0,6.0,26.0,4.0,4
3,Tanger,2026-04-26 09:30:28.691879,35.7595,-5.834,18.74,18.55,72.0,1014.0,9.26,80.0,40.0,Clouds,scattered clouds,1.0,3.04,6.06,2.14,58.34,0.92,123.61,9.0,6.0,26.0,4.0,5
4,Agadir,2026-04-26 10:30:49.837762,30.4278,-9.5981,20.06,20.13,77.0,1010.0,3.21,254.0,15.0,Clouds,few clouds,3.0,6.96,17.19,0.43,101.04,1.18,113.55,10.0,6.0,26.0,4.0,0
4,Casablanca,2026-04-26 10:30:33.710149,33.5731,-7.5898,19.96,19.97,75.0,1012.0,0.51,0.0,75.0,Clouds,broken clouds,2.0,7.44,18.02,1.08,93.42,2.28,115.86,10.0,6.0,26.0,4.0,1
4,Fes,2026-04-26 10:30:43.376593,34.0181,-5.0078,19.95,19.88,72.0,1012.0,4.63,70.0,0.0,Clear,clear sky,2.0,3.85,15.12,0.28,70.01,0.09,98.82,10.0,6.0,26.0,4.0,2
4,Marrakech,2026-04-26 10:30:40.176188,31.6295,-7.9811,20.98,20.8,64.0,1011.0,1.54,360.0,40.0,Clouds,scattered clouds,2.0,6.82,27.25,0.97,87.68,0.37,105.22,10.0,6.0,26.0,4.0,3
4,Rabat,2026-04-26 10:30:36.967480,34.0209,-6.8416,19.37,19.82,94.0,1012.0,1.54,350.0,40.0,Clouds,scattered clouds,2.0,7.78,13.63,2.07,84.83,3.21,116.14,10.0,6.0,26.0,4.0,4
4,Tanger,2026-04-26 10:30:46.606191,35.7595,-5.834,20.74,20.54,64.0,1014.0,9.77,80.0,40.0,Clouds,scattered clouds,2.0,3.18,6.39,1.48,71.07,0.98,124.19,10.0,6.0,26.0,4.0,5
5,Agadir,2026-04-26 11:31:07.889114,30.4278,-9.5981,23.06,23.43,77.0,1010.0,3.21,254.0,15.0,Clouds,few clouds,3.0,7.69,18.88,0.38,100.05,1.13,113.75,11.0,6.0,26.0,4.0,0
5,Casablanca,2026-04-26 11:30:51.661205,33.5731,-7.5898,20.78,20.69,68.0,1012.0,2.06,10.0,89.0,Clouds,overcast clouds,2.0,8.01,18.62,0.75,98.37,2.91,113.03,11.0,6.0,26.0,4.0,1
5,Fes,2026-04-26 11:31:01.330388,34.0181,-5.0078,21.95,21.87,64.0,1012.0,4.63,80.0,0.0,Clear,clear sky,2.0,4.16,16.76,0.19,74.74,0.08,97.02,11.0,6.0,26.0,4.0,2
5,Marrakech,2026-04-26 11:30:58.128697,31.6295,-7.9811,22.98,22.9,60.0,1010.0,2.06,360.0,40.0,Clouds,scattered clouds,2.0,8.17,36.04,0.51,91.66,0.27,102.71,11.0,6.0,26.0,4.0,3
5,Rabat,2026-04-26 11:30:54.908370,34.0209,-6.8416,21.37,21.73,83.0,1011.0,2.57,280.0,40.0,Clouds,scattered clouds,2.0,10.39,16.91,1.46,95.45,4.28,115.45,11.0,6.0,26.0,4.0,4
5,Tanger,2026-04-26 11:31:04.611992,35.7595,-5.834,21.74,21.54,60.0,1014.0,9.77,80.0,40.0,Clouds,scattered clouds,2.0,3.69,6.9,1.0,80.2,0.95,124.1,11.0,6.0,26.0,4.0,5
6,Agadir,2026-04-26 12:31:25.842218,30.4278,-9.5981,24.06,24.48,75.0,1010.0,4.49,263.0,11.0,Clouds,few clouds,2.0,8.62,20.91,0.31,99.3,1.11,113.95,12.0,6.0,26.0,4.0,0
6,Casablanca,2026-04-26 12:31:09.740950,33.5731,-7.5898,21.01,21.07,73.0,1011.0,1.54,40.0,80.0,Clouds,broken clouds,3.0,9.22,19.79,0.61,103.01,3.67,111.52,12.0,6.0,26.0,4.0,1
6,Fes,2026-04-26 12:31:19.403726,34.0181,-5.0078,22.95,22.87,60.0,1011.0,4.63,70.0,0.0,Clear,clear sky,2.0,4.25,16.94,0.17,76.47,0.08,95.63,12.0,6.0,26.0,4.0,2
6,Marrakech,2026-04-26 12:31:16.201426,31.6295,-7.9811,24.98,24.92,53.0,1010.0,1.54,0.0,40.0,Clouds,scattered clouds,2.0,9.27,42.58,0.36,93.11,0.21,100.48,12.0,6.0,26.0,4.0,3
6,Rabat,2026-04-26 12:31:12.982148,34.0209,-6.8416,21.37,21.73,83.0,1011.0,3.09,280.0,40.0,Clouds,scattered clouds,3.0,13.7,20.61,1.08,104.71,5.55,115.79,12.0,6.0,26.0,4.0,4
6,Tanger,2026-04-26 12:31:22.599905,35.7595,-5.834,21.74,21.54,60.0,1014.0,11.83,80.0,40.0,Clouds,scattered clouds,2.0,4.03,7.23,0.67,89.68,0.94,124.55,12.0,6.0,26.0,4.0,5
